GID_2,NAME_2,NAME_1,region,GAUL_ADM2_NAME,GAUL_ADM1_NAME,NDVI_mean,NDVI_stdDev,NDBI_mean,NDBI_stdDev,urban_gradient_mean,n_lethal,n_protest,n_routine,log_n_routine,log_n_protest
IDN.6.2_1,BoneBolango,Gorontalo,Sulawesi,Bonebolango,Gorontalo,0.63356532230786,0.301942065884147,-0.3368988368978726,0.1391161193726693,-0.972456947278827,0,10,0,0.0,1.0414
IDN.6.5_1,Gorontalo,Gorontalo,Sulawesi,Gorontalo,Gorontalo,0.6550085060465378,0.183764721246378,-0.2696526896472477,0.1381957073033589,-0.9255700435911387,0,89,3,0.6021,1.9542
IDN.6.7_1,Pohuwato,Gorontalo,Sulawesi,Pohuwato,Gorontalo,0.7014279035861174,0.2272508148810632,-0.3495821909786433,0.1295397808348944,-1.0512219515136192,0,2,0,0.0,0.4771
IDN.7.1_1,JakartaBarat,JakartaRaya,Java,Kota Jakarta Barat,Dki Jakarta,0.2652057666746822,0.1101896428608907,0.0167547937589382,0.0850787115880056,-0.2484509729157441,0,32,0,0.0,1.5185
IDN.7.2_1,JakartaPusat,JakartaRaya,Java,Kota Jakarta Pusat,Dki Jakarta,0.2495136487892241,0.1055459719705409,0.02428357785613,0.0811287746489952,-0.2252300709330945,0,1139,50,1.7076,3.0569
IDN.7.3_1,JakartaSelatan,JakartaRaya,Java,Kota Jakarta Selatan,Dki Jakarta,0.3490022077755493,0.1113264925834787,-0.0053265132399031,0.0866580406902031,-0.3543287210154523,0,488,8,0.9542,2.6893
IDN.7.4_1,JakartaTimur,JakartaRaya,Java,Kota Jakarta Timur,Dki Jakarta,0.3154245527826943,0.125159580549361,0.0145797594859437,0.0918424546364417,-0.3008447932967502,0,84,3,0.6021,1.9294
IDN.7.5_1,JakartaUtara,JakartaRaya,Java,Kota Jakarta Utara,Dki Jakarta,0.2425790755767001,0.1401123473520162,-0.0172155755920205,0.122082788311039,-0.2597946511687201,0,43,0,0.0,1.6435
IDN.8.1_1,BatangHari,Jambi,Sumatra,Batanghari,Jambi,0.7190607868957273,0.1663196203123694,-0.3033463624267772,0.1003794775053421,-1.022407149322496,0,4,0,0.0,0.699
IDN.8.2_1,Bungo,Jambi,Sumatra,Bungo,Jambi,0.7689259686533824,0.1465911064505202,-0.3194827775541439,0.0781803979701362,-1.0884059902637828,0,11,0,0.0,1.0792
IDN.8.3_1,Jambi,Jambi,Sumatra,Kota Jambi,Jambi,0.4604264355688133,0.2207001208003054,-0.1388025799105688,0.1436364329646707,-0.5992290154793833,0,98,5,0.7782,1.9956
IDN.8.4_1,Kerinci,Jambi,Sumatra,Kerinci,Jambi,0.7534190453240919,0.1916682842965029,-0.335928728943023,0.0788444462050078,-1.089310551969648,0,10,0,0.0,1.0414
IDN.8.5_1,Merangin,Jambi,Sumatra,Merangin,Jambi,0.7502758382243169,0.1751497042383202,-0.3375577043698972,0.0764752452894568,-1.0877963039924494,0,12,2,0.4771,1.1139
IDN.8.6_1,MuaroJambi,Jambi,Sumatra,Muarojambi,Jambi,0.6881922838246612,0.1850396666273596,-0.3148038613950958,0.1170751052474603,-1.0029961452197511,0,18,1,0.301,1.2788
IDN.8.7_1,Sarolangun,Jambi,Sumatra,Sarolangun,Jambi,0.772742118950303,0.1127182055225096,-0.3282210717362284,0.0943643474073715,-1.1009560430768337,0,8,0,0.0,0.9542
IDN.8.9_1,TanjungJabungB,Jambi,Sumatra,Tanjungjabung Barat,Jambi,0.7257651676248292,0.138711112162344,-0.3340091040039638,0.1173545800038267,-1.0597742716288143,0,11,0,0.0,1.0792
IDN.8.10_1,TanjungJabungT,Jambi,Sumatra,Tanjungjabung Timur,Jambi,0.6872260577306882,0.1808359888994705,-0.3444745481455733,0.1096172709385132,-1.03165742808584,0,4,0,0.0,0.699
IDN.8.11_1,Tebo,Jambi,Sumatra,Tebo,Jambi,0.7001781345817777,0.18242850430265,-0.2844926444848707,0.0891552911144909,-0.984664784254334,0,13,0,0.0,1.1461
IDN.9.2_1,Bandung,JawaBarat,Java,Bandung,Jawa Barat,0.4721011003319473,0.16513695540353718,-0.10281269418361245,0.12068100555409755,-0.5749137945155541,0,361,5,0.7782,2.5587
IDN.9.3_1,Banjar,JawaBarat,Java,Kota Banjar,Jawa Barat,0.542741477628586,0.145593413247919,-0.152009299179166,0.1082678410912045,-0.6947507768077508,0,1,0,0.0,0.301
IDN.9.4_1,Bekasi,JawaBarat,Java,Bekasi,Jawa Barat,0.34816768823756084,0.1332716315378383,-0.05255160283573,0.11150751623800904,-0.40071929107329185,0,117,6,0.8451,2.0719
IDN.9.5_1,Bogor,JawaBarat,Java,Bogor,Jawa Barat,0.5538415346639842,0.14351795063467132,-0.14732412398553366,0.1019382992345898,-0.7011656586495112,0,194,3,0.6021,2.29
IDN.9.6_1,Ciamis,JawaBarat,Java,Ciamis,Jawa Barat,0.6046522918327265,0.1803311347371548,-0.210136806198644,0.1090571001564605,-0.8147875945006855,0,28,0,0.0,1.4624
IDN.9.7_1,Cianjur,JawaBarat,Java,Cianjur,Jawa Barat,0.6770824025516439,0.1410773447523867,-0.2275892119904158,0.1115188101233965,-0.9046716145420504,0,47,2,0.4771,1.6812
IDN.9.8_1,Cimahi,JawaBarat,Java,Kota Cimahi,Jawa Barat,0.2934194700785763,0.1087110024252638,0.04256747833256,0.0899156842854622,-0.2508519917460161,0,23,0,0.0,1.3802
IDN.9.9_1,Cirebon,JawaBarat,Java,Cirebon,Jawa Barat,0.3463221565514141,0.12555707534362387,-0.0273987886912175,0.10269514350935474,-0.37372094524263133,0,58,2,0.4771,1.7709
IDN.9.10_1,Depok,JawaBarat,Java,Kota Depok,Jawa Barat,0.4337983814654814,0.123693728241888,-0.0515131045531612,0.0956256938293234,-0.485311486018646,0,76,0,0.0,1.8865
IDN.9.11_1,Garut,JawaBarat,Java,Garut,Jawa Barat,0.624478587253692,0.1752976837633591,-0.1982135672593686,0.122145071912341,-0.8226953716226874,0,28,0,0.0,1.4624
IDN.9.12_1,Indramayu,JawaBarat,Java,Indramayu,Jawa Barat,0.3846078245624497,0.1816968369987099,-0.0912542308387318,0.1316536539123409,-0.475862055401182,0,87,4,0.699,1.9445
IDN.9.13_1,Karawang,JawaBarat,Java,Karawang,Jawa Barat,0.424241769001316,0.2107664649408229,-0.2206778337263024,0.1465106190575033,-0.6449196027276197,0,44,2,0.4771,1.6532
IDN.9.18_1,KotaSukabumi,JawaBarat,Java,Kota Sukabumi,Jawa Barat,0.5909409183301515,0.13375654012118748,-0.16745740902600104,0.1215467404379813,-0.7584482292963832,0,94,6,0.8451,1.9777
IDN.9.19_1,KotaTasikmalaya,JawaBarat,Java,Kota Tasikmalaya,Jawa Barat,0.5487444688728911,0.19458571039937395,-0.18123503613984235,0.11150904861076115,-0.7299795050127356,0,102,2,0.4771,2.0128
IDN.9.20_1,Kuningan,JawaBarat,Java,Kuningan,Jawa Barat,0.5454718390236111,0.1624253742947904,-0.1316456941544441,0.1297360748432832,-0.6771175331780585,0,15,1,0.301,1.2041
IDN.9.21_1,Majalengka,JawaBarat,Java,Majalengka,Jawa Barat,0.4387039430145981,0.1721913899958559,-0.0715213186722303,0.129365424094582,-0.5102252616868335,0,31,0,0.0,1.5051
IDN.9.22_1,Purwakarta,JawaBarat,Java,Purwakarta,Jawa Barat,0.6008357785134495,0.1975798639978811,-0.2120877740724177,0.1151772879918331,-0.8129235525858679,0,36,1,0.301,1.5682
IDN.9.23_1,Subang,JawaBarat,Java,Subang,Jawa Barat,0.5680025124241905,0.1804536002223629,-0.2146763399390495,0.1281498810501858,-0.7826788523632499,0,41,0,0.0,1.6232
IDN.9.25_1,Sumedang,JawaBarat,Java,Sumedang,Jawa Barat,0.5491203622039055,0.1818140486096738,-0.146497008894318,0.1332356021386938,-0.6956173710982214,0,27,1,0.301,1.4472
IDN.10.1_1,Banjarnegara,JawaTengah,Java,Banjarnegara,Jawa Tengah,0.6849873925499419,0.1331023756524915,-0.2655916732364659,0.0822404096161546,-0.9505790657864168,0,12,0,0.0,1.1139
IDN.10.2_1,Banyumas,JawaTengah,Java,Banyumas,Jawa Tengah,0.6013230862639637,0.1679503472088685,-0.2037621408429488,0.103619923551774,-0.8050852271069106,0,71,2,0.4771,1.8573
IDN.10.3_1,Batang,JawaTengah,Java,Batang,Jawa Tengah,0.7003400569913977,0.1904044793829027,-0.2809192164585188,0.10649106514153,-0.9812592734499136,0,12,0,0.0,1.1139
IDN.10.4_1,Blora,JawaTengah,Java,Blora,Jawa Tengah,0.4464399226139058,0.1022233125807986,0.002284837474741,0.0897471472760165,-0.4441550851391683,0,18,0,0.0,1.2788
IDN.10.5_1,Boyolali,JawaTengah,Java,Boyolali,Jawa Tengah,0.5967519884344767,0.126290638116276,-0.157201385981352,0.101695816711747,-0.7539533744158357,0,18,0,0.0,1.2788
IDN.10.6_1,Brebes,JawaTengah,Java,Brebes,Jawa Tengah,0.4181629369172211,0.2127422506200842,-0.0726687318084474,0.1467215386230245,-0.4908316687256635,0,37,0,0.0,1.5798
IDN.10.7_1,Cilacap,JawaTengah,Java,Cilacap,Jawa Tengah,0.5583189515169091,0.1724498197671312,-0.1718203362488426,0.1261450501593109,-0.7301357526852457,0,8,0,0.0,0.9542
IDN.10.8_1,Demak,JawaTengah,Java,Demak,Jawa Tengah,0.4802617646102265,0.1903022779290868,-0.1511501292370507,0.1133772174441376,-0.6314118938472788,0,18,0,0.0,1.2788
IDN.10.9_1,Grobogan,JawaTengah,Java,Grobogan,Jawa Tengah,0.47782914202818,0.1158120230411085,-0.0530300534039506,0.1022348623665636,-0.5308591954321309,0,2,0,0.0,0.4771
IDN.10.10_1,Jepara,JawaTengah,Java,Jepara,Jawa Tengah,0.6214719068235064,0.2470080224609237,-0.2157950648562172,0.1348151457695935,-0.8374454497147154,0,25,0,0.0,1.415
IDN.10.11_1,Karanganyar,JawaTengah,Java,Karanganyar,Jawa Tengah,0.5742318126248511,0.1319372784944327,-0.1610239962482047,0.1059069203511806,-0.735255808873057,0,23,0,0.0,1.3802
IDN.10.12_1,Kebumen,JawaTengah,Java,Kebumen,Jawa Tengah,0.6483592379444586,0.1204888219925428,-0.2220326917191719,0.0957586050130459,-0.8703919296636319,0,7,0,0.0,0.9031
IDN.10.13_1,Kendal,JawaTengah,Java,Kendal,Jawa Tengah,0.6482840055309371,0.1710049831512411,-0.2313255537543492,0.1052818496534353,-0.8796095592852916,0,9,0,0.0,1.0
IDN.10.14_1,Klaten,JawaTengah,Java,Klaten,Jawa Tengah,0.5577739958640979,0.10984306831482105,-0.15343448024913275,0.10452556442353836,-0.7112084761132309,0,41,0,0.0,1.6232
IDN.10.15_1,KotaMagelang,JawaTengah,Java,Kota Magelang,Jawa Tengah,0.5748803078547647,0.13237444235944484,-0.15465244965388483,0.11693161077244245,-0.7295327575086517,0,23,1,0.301,1.3802
IDN.10.16_1,KotaPekalongan,JawaTengah,Java,Kota Pekalongan,Jawa Tengah,0.49080930196315564,0.22677461058059717,-0.17172830039240322,0.14304099926331526,-0.6625376023555608,0,21,0,0.0,1.3424
IDN.10.17_1,KotaSemarang,JawaTengah,Java,Kota Semarang,Jawa Tengah,0.5955564353611639,0.1678792108406851,-0.17126111567131255,0.12531499299803733,-0.7668175510324751,0,209,8,0.9542,2.3222
IDN.10.18_1,KotaTegal,JawaTengah,Java,Kota Tegal,Jawa Tengah,0.3644076030866775,0.1721207360316097,-0.057108207620138594,0.12777504333144124,-0.42151581070681476,0,37,0,0.0,1.5798
IDN.10.19_1,Kudus,JawaTengah,Java,Kudus,Jawa Tengah,0.5325148800117978,0.1369339498721111,-0.1246635559560842,0.111145342039951,-0.6571784359678805,0,44,1,0.301,1.6532
IDN.10.21_1,Pati,JawaTengah,Java,Pati,Jawa Tengah,0.4679545552399983,0.1533070223235416,-0.0709202348638539,0.1251444157390068,-0.5388747901038524,0,52,0,0.0,1.7243
IDN.10.23_1,Pemalang,JawaTengah,Java,Pemalang,Jawa Tengah,0.6061548290205039,0.1415880242674152,-0.1945653351319483,0.1100191290037156,-0.8007201641524517,0,15,0,0.0,1.2041
IDN.10.24_1,Purbalingga,JawaTengah,Java,Purbalingga,Jawa Tengah,0.665505634266075,0.1392155235420827,-0.2473916512576227,0.0862401852876707,-0.9128972855237086,0,2,0,0.0,0.4771
IDN.10.25_1,Purworejo,JawaTengah,Java,Purworejo,Jawa Tengah,0.6946793796987136,0.1334498151492521,-0.2759129112487387,0.0957080353272773,-0.9705922909474556,0,26,1,0.301,1.4314
IDN.10.26_1,Rembang,JawaTengah,Java,Rembang,Jawa Tengah,0.4429082726922389,0.1706673068498347,-0.0199883976526624,0.097750003493924,-0.4628966703449002,0,10,1,0.301,1.0414
IDN.10.27_1,Salatiga,JawaTengah,Java,Kota Salatiga,Jawa Tengah,0.6279823856365239,0.1572460834492182,-0.1651976425459078,0.1384004738777073,-0.7931800281824326,0,23,0,0.0,1.3802
IDN.10.29_1,Sragen,JawaTengah,Java,Sragen,Jawa Tengah,0.5125955219667097,0.1602132075859872,-0.1253993172863209,0.1207256310476566,-0.6379948392530281,0,4,0,0.0,0.699
IDN.10.30_1,Sukoharjo,JawaTengah,Java,Sukoharjo,Jawa Tengah,0.4954108247119407,0.1177966197886035,-0.1095780296982148,0.1233252896181595,-0.6049888544101542,0,25,2,0.4771,1.415
IDN.10.31_1,Surakarta,JawaTengah,Java,Kota Surakarta,Jawa Tengah,0.3185367993574132,0.0912618604148939,0.0323962230299751,0.0780144995956127,-0.2861405763274383,0,102,7,0.9031,2.0128
IDN.10.33_1,Temanggung,JawaTengah,Java,Temanggung,Jawa Tengah,0.6826466207304787,0.1389375538099068,-0.2459614343855898,0.108565994023628,-0.9286080551160758,0,8,0,0.0,0.9542
IDN.10.35_1,Wonogiri,JawaTengah,Java,Wonogiri,Jawa Tengah,0.5322487761917783,0.1500222703217852,-0.1164634335697764,0.0962244718725741,-0.6487146874477193,0,4,0,0.0,0.699
IDN.10.36_1,Wonosobo,JawaTengah,Java,Wonosobo,Jawa Tengah,0.6903848935917406,0.1486858209933784,-0.2823322913177949,0.0908177294175077,-0.9727171849095348,0,8,0,0.0,0.9542
IDN.11.1_1,Bangkalan,JawaTimur,Java,Bangkalan,Jawa Timur,0.5528852509098434,0.2216203572302133,-0.1182515538869922,0.1254366616562537,-0.6711368047968348,0,35,1,0.301,1.5563
IDN.11.2_1,Banyuwangi,JawaTimur,Java,Banyuwangi,Jawa Timur,0.6484381218529565,0.1765513711099728,-0.2501015405015467,0.1284980809202558,-0.899061836267402,0,37,1,0.301,1.5798
IDN.11.3_1,Batu,JawaTimur,Java,Kota Batu,Jawa Timur,0.6916257853996955,0.1378024628905002,-0.2449076376745675,0.1091541331047635,-0.936533423074264,0,6,0,0.0,0.8451
IDN.11.4_1,Blitar,JawaTimur,Java,Blitar,Jawa Timur,0.5551968624533322,0.12142558326545395,-0.14158498970406455,0.1143364462087991,-0.6972323228452375,0,58,2,0.4771,1.7709
IDN.11.5_1,Bojonegoro,JawaTimur,Java,Bojonegoro,Jawa Timur,0.4392185923144963,0.1141001334581775,-0.0357560932085762,0.1048025872430625,-0.4749746855230672,0,25,0,0.0,1.415
IDN.11.6_1,Bondowoso,JawaTimur,Java,Bondowoso,Jawa Timur,0.6817680003564598,0.1215754667507874,-0.2368051882805637,0.1050218908538212,-0.9185731886370216,0,10,0,0.0,1.0414
IDN.11.7_1,Gresik,JawaTimur,Java,Gresik,Jawa Timur,0.4326263338225858,0.2150018819580993,-0.1479661719273882,0.1751194016211239,-0.5824411434728826,0,66,3,0.6021,1.8261
IDN.11.8_1,Jember,JawaTimur,Java,Jember,Jawa Timur,0.6240807060118225,0.15167649725056195,-0.21084811387825936,0.1160500005901263,-0.8351022481122303,0,118,2,0.4771,2.0755
IDN.11.9_1,Jombang,JawaTimur,Java,Jombang,Jawa Timur,0.5726256576604302,0.1144154531009983,-0.1592702919827456,0.103631277876974,-0.7318959496431857,0,47,2,0.4771,1.6812
