ADM1_NAME,ADM2_NAME,ADM2_CODE,NDVI_mean,NDVI_stdDev,NDBI_mean,NDBI_stdDev,urban_gradient_mean
Kalimantan Timur,Pasir,73823,0.6894407969991141,0.21758054460228918,-0.2581075910757735,0.14752417577134835,-0.9473910079734834
Kalimantan Timur,Penajam Paser Utara,73826,0.528983028183301,0.2781812810276968,-0.2851720831093114,0.12710401823062525,-0.8140916022501521
Nusatenggara Barat,Bima,73656,0.5646601302659292,0.2151120338076624,-0.14398596669792407,0.1968169782215087,-0.7154014906672097
Nusatenggara Barat,Kota Bima,73713,0.5652001167712558,0.19603859624052036,-0.10142765658248269,0.16616466060235907,-0.6679562554472098
Nusatenggara Timur,Kupang,73765,0.6167923516904134,0.16355141009625448,-0.11973116232224575,0.1312569939924563,-0.7366233525689573
Nusatenggara Timur,Rotendao,73837,0.5657313598495284,0.22125654402373018,-0.09604727191918828,0.15282020917919378,-0.6623993917666661
Sulawesi Tengah,Donggala,73671,0.7862374299696453,0.1803892798532463,-0.3745962624215286,0.10712941216619393,-1.1615232202709596
Sulawesi Tengah,Parigimoutong,73821,0.6175394131186559,0.2780478821092453,-0.31489731975232454,0.11957964571479558,-0.933862383677571
Sulawesi Tenggara,Kota Bau-bau,73710,0.7113857660570275,0.16515873169364576,-0.2758353718802238,0.14625451121484898,-0.9881857335098198
Sumatera Barat,Kota Pariaman,73743,0.6635373268946668,0.22540608994073694,-0.3099183373874029,0.12151547378551876,-0.9734556642820688
Sumatera Barat,Padangpariaman,73819,0.777259836441979,0.14462056000551485,-0.36628911298192735,0.09050317024417204,-1.1435735217524918
Sumatera Utara,Kota Padangsidempuan,73738,0.653778884226784,0.22774271510336924,-0.3086593880312783,0.09283832832924313,-0.9624305799281702
Sumatera Utara,Tapanuli Selatan,73864,0.7389477006420683,0.1923404998767997,-0.33929722713563887,0.0883243910624321,-1.078263876970254
Jawa Barat,Bandung,73636,0.6337606172082277,0.1873500099725293,-0.21893071118287266,0.1291640964209604,-0.8526913283910892
Jawa Barat,Kota Cimahi,73718,0.2934194700785763,0.1087110024252638,0.042567478332560096,0.08991568428546222,-0.25085199174601613
Jawa Barat,Kota Tasikmalaya,73756,0.5009020334183165,0.18809008158316995,-0.14544901214065306,0.1180676394243335,-0.6463510455589688
Jawa Barat,Tasikmalaya,73867,0.5965869043274656,0.20108133921557803,-0.21702106013903172,0.10495045779718884,-0.8136079644665023
Kepulauan-riau,Kota Tanjungpinang,73754,0.3969408539855248,0.3167988746768198,-0.27427032996874207,0.16402660147162254,-0.6687925154629201
Sulawesi Barat,Mamasa,73784,0.8329818985175367,0.08266950788695203,-0.3658518360587825,0.08039086928172932,-1.1988334699321777
Sulawesi Barat,Polewalimamasa,73828,0.7560771551832423,0.18195550276211805,-0.32708469648966915,0.11848093291871625,-1.084180280100753
Sulawesi Selatan,Kota Palopo,73740,0.6444575831049695,0.2765044606408264,-0.28604382256593885,0.12407124939046685,-0.9305014056709083
Sulawesi Selatan,Luwu,73779,0.6653527213473934,0.21221492932621888,-0.2696114658727075,0.11798022854517136,-0.9349509221668066
Sulawesi Utara,Kepulauan-sangihe,73699,0.7081454498657632,0.2647172282807201,-0.3146338359352447,0.2923122659981551,-1.0679025139458413
Sulawesi Utara,Kepulauan-talaud,73701,0.7621047905294379,0.2081192148551194,-0.3711372550506629,0.21511216408051326,-1.1405423472327723
Sumatera Selatan,Banyuasin,73643,0.6781023310805487,0.20076934855659714,-0.2619787857622417,0.2032383102078271,-0.9400769303681005
Sumatera Selatan,Kota Lubuklinggau,73734,0.7343054463345209,0.17433196344214386,-0.30912382256202015,0.10139760639618671,-1.0431722027404695
Sumatera Selatan,Kota Pagaralam,73739,0.7605294976632,0.14639677283127986,-0.30499064645518786,0.08530495744472165,-1.0655085557991852
Sumatera Selatan,Kota Prabumulih,73748,0.770525113385165,0.10621440182794001,-0.27479300675410984,0.08849723612026546,-1.0453181201392752
